KABKOT;Label
BOLAANG MONGONDOW;4
MINAHASA;4
KEPULAUAN SANGIHE;1
KEPULAUAN TALAUD;1
MINAHASA SELATAN;4
MINAHASA UTARA;2
BOLAANG MONGONDOW UTARA;1
SIAU TAGULANDANG BIARO;3
MINAHASA TENGGARA;3
BOLAANG MONGONDOW SELATAN;3
BOLAANG MONGONDOW TIMUR;4
MANADO;4
BITUNG;2
TOMOHON;2
KOTAMOBAGU;2
BANGGAI KEPULAUAN;3
BANGGAI;4
MOROWALI;3
POSO;2
DONGGALA;1
TOLI-TOLI;4
BUOL;4
PARIGI MOUTONG;3
TOJO UNA-UNA;3
SIGI;3
BANGGAI LAUT;2
MOROWALI UTARA;3
PALU;4
KEPULAUAN SELAYAR;3
BULUKUMBA;4
BANTAENG;2
JENEPONTO;2
TAKALAR;3
GOWA;4
SINJAI;4
MAROS;4
PANGKAJENE DAN KEPULAUAN;3
BARRU;3
BONE;1
SOPPENG;1
WAJO;2
SIDENRENG RAPPANG;4
PINRANG;3
ENREKANG;4
LUWU;1
TANA TORAJA;1
LUWU UTARA;1
LUWU TIMUR;4
TORAJA UTARA;1
MAKASSAR;1
PAREPARE;4
PALOPO;4
BUTON;4
MUNA;4
KONAWE;2
KOLAKA;4
KONAWE SELATAN;3
BOMBANA;3
WAKATOBI;3
KOLAKA UTARA;3
BUTON UTARA;4
KONAWE UTARA;3
KOLAKA TIMUR;2
KONAWE KEPULAUAN;3
MUNA BARAT;3
BUTON TENGAH;4
BUTON SELATAN;4
KENDARI;1
BAUBAU;2
BOALEMO;2
GORONTALO;2
POHUWATO;2
BONE BOLANGO;4
GORONTALO UTARA;3
GORONTALO;2
MAJENE;2
POLEWALI MANDAR;2
MAMASA;2
MAMUJU;3
MAMUJU UTARA;3
MAMUJU TENGAH;4
